title,wiki_page,horror_subgenre,developers,female_developer_present?,release_date,platforms,player_perspective,female_protagonist_playable_character?,motherhood,motherhood_keywords,domesticity,domesticity_keywords,trauma_and_mental illness,trauma_and_mental_illness_keywords,embodiment,embodiment_keywords,captivity,captivity_keywords,violence,violence_keywords,sexualized_violence,sexualized_violence_keywords,girlhoodhorror,girlhood horror_keywords,woman_as_monster,woman_as_monster,queer_themes,queer themes_keywords,combined_keywords,interpretative_evidence_sentences
Clock Tower 3,en.wikipedia.org/wiki/Clock_Tower_3,survival horror,Capcom; Sunsoft,NONE LISTED,2002-12-12,PlayStation 2,third-person,TRUE,TRUE,mother; her son,FALSE,,FALSE,,TRUE,body; soul,FALSE,,TRUE,murder; murdered; killed,FALSE,,TRUE,teen; young girl,FALSE,,FALSE,,mother; her son; body; soul; murder; murdered; killed; teen; young girl,
Clock Tower II: The Struggle Within,en.wikipedia.org/wiki/Clock_Tower_II:_The_Struggle_Within,survival horror,Human Entertainment,TRUE,1998-03-12,PlayStation,,TRUE,TRUE,daughter,FALSE,,FALSE,,TRUE,soul; alter ego,TRUE,escape,TRUE,decapitated,FALSE,,TRUE,high school,FALSE,,FALSE,,daughter; soul; alter ego; escape; decapitated; high school,
D,en.wikipedia.org/wiki/D_(video_game),adventure horror,Warp,NONE LISTED,1995-04-01,3DO; Sega Saturn; PlayStation; MS-DOS,,TRUE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,"kill, stabbed",FALSE,,FALSE,,TRUE,vampire,FALSE,,"kill, stabbed; vampire","""Driven by her vampiric urges, Laura killed and ate her mother years ago, but it was erased from her memory by her father."""
Deadly Premonition 2: A Blessing in Disguise,https://en.wikipedia.org/wiki/Deadly_Premonition_2%3A_A_Blessing_in_Disguise,survival horror,Toybox Inc.; White Owls Inc.; Now Production,NONE LISTED,2020-07-10,Nintendo Switch; Windows,point-and-click,TRUE,TRUE,daughter; mother,FALSE,,FALSE,trauma,TRUE,body; soul,TRUE,escapes,TRUE,kill; murder; murdered; violence,FALSE,,TRUE,girl; teen; teenage girl; young,TRUE,monster;,FALSE,,daughter; mother; trauma; body; soul; escapes; kill; murder; murdered; violence; girl; teen; teenage girl; young; monster;,"""ork then enters the Otherworld, where he battles a monstrous version of Galena.""; ""York then battles a monstrous form of Lena."""
Detention,en.wikipedia.org/wiki/Detention_(video_game),adventure horror,Red Candle Games,NONE LISTED,2017-10-03,Windows; OS X; Linux; Nintendo Switch; Android ,,TRUE,FALSE,,TRUE,abusive father,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,abusive father,"""Inspired by the way her mother got rid of her abusive and philandering father..."""
Devotion,en.wikipedia.org/wiki/Devotion_(video_game),psychological horror,Red Candle Games,NONE LISTED,2019-02-19,Microsoft Windows; macOS,,FALSE,TRUE,mother,TRUE,domestic; family; husband,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,mother; domestic; family; husband,"""domestic disputes""; ""a Taipei apartment with rooms that represent various years in the lives of the Du family during the 1980s."""
Doki Doki Literature Club!,en.wikipedia.org/wiki/Doki_Doki_Literature_Club!,psychological horror,Team Salvato,TRUE,2017-09-22,macOS; Windows; Linux; iOS; Android; Plus!; Nintendo Switch; PlayStation 4; PlayStation 5; Xbox One; Xbox Series X/S; macOS,first-person,FALSE,FALSE,,TRUE,father,TRUE,depression; self-harm; suicide,TRUE,body,FALSE,,TRUE,abused,FALSE,,TRUE,student; high school,FALSE,,FALSE,,father; depression; self-harm; suicide; body; abused; student; high school,"""Natsuki is malnourished and being abused by her father."""
Echo Night: Beyond,en.wikipedia.org/wiki/Echo_Night:_Beyond,survival horror,FromSoftware,TRUE,2004-01-22,PlayStation 2,first-person,FALSE,FALSE,,,,FALSE,,TRUE,soul,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,soul,
Emily Wants to Play,https://en.wikipedia.org/wiki/Emily_Wants_to_Play,survival horror,Shawn Hitchcock,NONE LISTED,2015-12-10,macOS; Windows; iOS; Android; PlayStation 4; Xbox One; Oculus Rift,,FALSE,TRUE,mother,TRUE,parents,TRUE,depression,FALSE,,TRUE,lock,TRUE,violent; killed,FALSE,,TRUE,young girl,TRUE,,FALSE,,mother; parents; depression; lock; violent; killed; young girl,"""Emily showed signs of erratic and violent behavior, which led her to harm other children at school and kill a puppy that they bought her as a gift. Because of this, her parents decided to keep her at home and lock her in the basement. "
Eternal Darkness: Sanity’s Requiem,en.wikipedia.org/wiki/Eternal_Darkness,lovecraftian horror; survival horror,Silicon Knights,TRUE,2002-06-24,GameCube,third-person,,FALSE,,FALSE,,,,TRUE,body; experimentation; soul,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,body; experimentation; soul,
FAITH: The Unholy Trinity,en.wikipedia.org/wiki/Faith:_The_Unholy_Trinity,survival horror,Airdorf Games,NONE LISTED,2017-10-04,Windows; Nintendo Switch,,FALSE,FALSE,,FALSE,,TRUE,psychiatric,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,transforms; horrifying demon,FALSE,,psychiatric; transforms; horrifying demon,"""Amy was incarcerated at Yale Psychiatric Institute.""; ""the woman transforms into a horrifying demon."""
Fatal Frame,https://en.wikipedia.org/wiki/Fatal_Frame_(video_game),survival horror,Tecmo,TRUE,2001-12-13,PlayStation 2; Microsoft Windows; Nintendo 3DS; Nintendo Switch; Playstation 4; Playstation 5; Wii; Wii U; Xbox; Xbox One; Xbox Series X/S; Nintendo Switch 2,third-person,TRUE,FALSE,,FALSE,,FALSE,,TRUE,body,TRUE,rope,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,body; rope,"""Kirie willingly becomes the Rope Shrine Maiden and uses her body to seal the Hell Gate permanently."""
Fatal Frame II: Crimson Butterfly,en.wikipedia.org/wiki/Fatal_Frame_II:_Crimson_Butterfly,survival horror,Tecmo,TRUE,2003-11-27,Playstation 2; Xbox,third-person,TRUE,FALSE,,FALSE,,FALSE,,TRUE,soul,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,witch,FALSE,,soul; witch,
Fatal Frame III: The Tormented,en.wikipedia.org/wiki/Fatal_Frame_III:_The_Tormented,survival horror,Tecmo,TRUE,2005-07-28,Playstation 2,third-person,TRUE,FALSE,,FALSE,,FALSE,,TRUE,body; memories,FALSE,,FALSE,murder; murdered,FALSE,,FALSE,,FALSE,,FALSE,,body; memories; murder; murdered,
Fatal Frame IV: Mask of the Lunar Eclipse,en.wikipedia.org/wiki/Fatal_Frame:_Mask_of_the_Lunar_Eclipse,survival horror,Tecmo; Nintendo SPD; Grasshopper Manufacture,NONE LISTED,2008-07-31,Wii; Nintendo Switch; Playstation 4; Playstation 5; Windows; Xbox One; Xbox Series X/S,first-person; third-person,TRUE,TRUE,mother,FALSE,,FALSE,,TRUE,body; memories,TRUE,kidnapped,TRUE,killed; stabbed,FALSE,,TRUE,girls,FALSE,,FALSE,,mother; body; memories; kidnapped; killed; stabbed; girls,"""suspected serial killer Yō Haibara kidnapped five girls from their rooms in a sanatorium on Rogetsu."""
Fatal Frame V: Maiden of Black Water,en.wikipedia.org/wiki/Fatal_Frame:_Maiden_of_Black_Water,survival horror,Koei Tecmo,TRUE,2014-09-27,Wii U; Nintendo Switch; Playstation 4; Playstation 5; Windows; Xbox One; Xbox Series X/S,first-person; third-person,TRUE,TRUE,birth,FALSE,,TRUE,suicide,TRUE,bodies,FALSE,,TRUE,killing,FALSE,,FALSE,,FALSE,,FALSE,,birth; suicide; bodies; killing,
Forbidden Siren 2,https://en.wikipedia.org/wiki/Forbidden_Siren_2,survival horror,Sony Computer Entertainment Japan,TRUE,2006-02-09,PlayStation 2,,TRUE,TRUE,mother,FALSE,,TRUE,trauma,TRUE,body; soul; memories,TRUE,kidnapped; imprisoned; escape,TRUE,murder; killed,FALSE,,TRUE,schoolgirl; young girl,TRUE,witch; she transforms,FALSE,,mother; trauma; body; soul; memories; kidnapped; imprisoned; escape; murder; killed; schoolgirl; young girl; witch; she transforms,
Fran Bow,en.wikipedia.org/wiki/Fran_Bow,psychological horror,Killmonday Games,TRUE,2015-08-27,Microsoft Windows; OS X; Linux; Android; iOS; Xbox Series X/S; Xbox One; Nintendo Switch; Playstation 4,,TRUE,TRUE,mother,FALSE,,TRUE,trauma; mental illness; hallucination; asylum,FALSE,,TRUE,kidnapped; escape; imprisonment,TRUE,murder; killed; torture,FALSE,,TRUE,girl,TRUE,witch,FALSE,,mother; trauma; mental illness; hallucination; asylum; kidnapped; escape; imprisonment; murder; killed; torture; girl; witch,"""Fran, a ten-year-old girl struggling with mental illness after witnessing the brutal murder of her parents"""
Haunting Ground,en.wikipedia.org/wiki/Haunting_Ground,survival horror,Capcom,TRUE,2005-04-21,Playstation 2,,TRUE,TRUE,mother,FALSE,,FALSE,,TRUE,embodiment; body; bodily autonomy; memories,TRUE,escape,TRUE,violent; murder; murdered,FALSE,,TRUE,youth,FALSE,,FALSE,,mother; embodiment; body; bodily autonomy; memories; escape; violent; murder; murdered; youth,"""The game's voyeuristic nature and the sexual objectification of Fiona were highlighted by critics as some of the game's best elements. They felt that by exposing Fiona as a vulnerable object of desire, the game makes her and therefore the player feel more fragile and endangered, building a more disturbing atmosphere."""
Ib,en.wikipedia.org/wiki/Ib_(video_game),adventure horror,kouri,NONE LISTED,2012-02-27,Windows; Nintendo Switch; Playstation 4; Playstation 5,top-down,TRUE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,young girl,FALSE,,FALSE,,young girl,
Koudelka,en.wikipedia.org/wiki/Koudelka,horror,Sacnoth,NONE LISTED,1999-12-16,Playstation ,,TRUE,TRUE,mother,FALSE,,FALSE,,TRUE,body,FALSE,,TRUE,killed,FALSE,,TRUE,young girl,FALSE,,FALSE,,mother; body; killed; young girl,
Layers of Fear,en.wikipedia.org/wiki/Layers_of_Fear,psychological horror,Bloober Team,NONE LISTED,2016-02-16,Linux; Microsoft Windows; macOS; Playstation 4; Xbox One; Nintendo Switch,,FALSE,TRUE,daughter,TRUE,domestic; marriage; wife; husband; family,TRUE,trauma,TRUE,body; memories,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,daughter; domestic; marriage; wife; husband; family; trauma; body; memories,"""mutual resentment grew between the Painter and his wife. The latter, feeling neglected and repulsed by her husband's perceived disgust"""
Layers of Fear 2,en.wikipedia.org/wiki/Layers_of_Fear_2,psychological horror,Bloober Team,NONE LISTED,2019-05-28,Microsoft Windows; Playstation 4; Xbox One; Nintendo Switch,,FALSE,FALSE,,TRUE,wife; abusive father,TRUE,trauma; hallucination,TRUE,soul,FALSE,,TRUE,assault; sexually assaulted,TRUE,sexually assaulted,FALSE,,FALSE,,FALSE,,wife; abusive father; trauma; hallucination; soul; assault; sexually assaulted; sexually assaulted,"""Both are left alone with their abusive, alcoholic father."""
Life Weaver,https://en.wikipedia.org/wiki/Life_Weaver,survival horror,BGG Productions,TRUE,2012-01-10,Windows,,TRUE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,violence,FALSE,,FALSE,,FALSE,,FALSE,,violence,
Little Goody Two Shoes,https://en.wikipedia.org/wiki/Little_Goody_Two_Shoes_%28video_game%29,adventure horror,AstralShiftPro,NONE LISTED,2023-10-31,Nintendo Switch PlayStation 5 Windows Xbox Series X/S,,TRUE,FALSE,,FALSE,,FALSE,,,,FALSE,,FALSE,,FALSE,,TRUE,young girl,TRUE,witch,FALSE,,young girl; witch,
Little Misfortune,en.wikipedia.org/wiki/Little_Misfortune,adventure horror,Killmonday Games,TRUE,2019-09-18,Linux; macOS; Microsoft Windows; Android; iOS; Nintendo Switch,,TRUE,TRUE,mother,TRUE,husband; abusive parents,TRUE,suicide,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,girl,FALSE,,FALSE,,mother; husband; abusive parents; suicide; girl,"""eight-year-old Misfortune Ramirez Hernandez lives a sad, lonely life with her abusive parents on the outskirts of the fictional town..."""
Little Nightmares,en.wikipedia.org/wiki/Little_Nightmares,survival horror,Tarsier Studios,TRUE,2017-04-28,Android; Google Stadia; iOS; Nintendo Switch; Playstation 4; Windows; Xbox One; Playstation 5; Xbox Series X/S; Nintendo Switch 2,,TRUE,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,escape; must escape; cage,FALSE,,FALSE,,TRUE,young girl,FALSE,,FALSE,,escape; must escape; cage; young girl,"""a hungry little girl who must escape the Maw, an underwater vessel inhabited by monstrous, twisted beings."""
Mad Father,en.wikipedia.org/wiki/Mad_Father,survival horror,Sen,NONE LISTED,2012-12-10,Windows; Nintendo Switch,,TRUE,TRUE,daughter; mother,TRUE,family; father,FALSE,,FALSE,,TRUE,escape; escaped,TRUE,murder; murdered; killed,FALSE,,TRUE,girl; youth,FALSE,,FALSE,,daughter; mother; family; father; escape; escaped; murder; murdered; killed; girl; youth,"""Mad Father takes place in northern Germany, where the 11-year-old protagonist Aya Drevis lives with her father Alfred and their maid Maria."""
Maid of Sker,https://en.wikipedia.org/wiki/Maid_of_Sker_(video_game),psychological horror; survival horror,Wales Interactive,NONE LISTED,2020-07-28,Windows; PS4; Xbox One; Nintendo Switch,first-person,FALSE,TRUE,daughter; mother,TRUE,family; father,FALSE,,FALSE,,TRUE,locked,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,daughter; mother; family; father; locked,"""Elisabeth's father, Isaac, disapproves of the relationship and in one version of the tale, locks her in a room until she starves."""
Martha Is Dead,https://en.wikipedia.org/wiki/Martha_Is_Dead,psychological thriller,LKA,NONE LISTED,2022-02-24,PlayStation 4 PlayStation 5 Windows Xbox One Xbox Series X/S,first-person,TRUE,TRUE,mother; pregnant,FALSE,,TRUE,asylum,TRUE,body,FALSE,,TRUE,murder; murdered; killed; torture; tortured,FALSE,,FALSE,,TRUE,malicious spirit,FALSE,,mother; pregnant; asylum; body; murder; murdered; killed; torture; tortured; malicious spirit,"""the White Lady, a malicious spirit of a woman who was hung from a tree by her lover on an island in a nearby lake"""
Milk Inside a Bag of Milk Inside a Bag of Milk,en.wikipedia.org/wiki/Milk_inside_a_bag_of_milk_inside_a_bag_of_milk,psychological horror,Nikita Kryukov,FALSE,2020-08-26,Windows; MacOS; Linux; Nintendo Switch,first-person,TRUE,TRUE,mother,FALSE,,TRUE,trauma; hallucination; suicidal; suicide; hallucinate,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,mother; trauma; hallucination; suicidal; suicide; hallucinate,
Milk Outside a Bag of Milk Outside a Bag of Milk,en.wikipedia.org/wiki/Milk_outside_a_bag_of_milk_outside_a_bag_of_milk,psychological horror,Nikita Kryukov,FALSE,2021-12-16,Windows; MacOS; Linux; Nintendo Switch,first-person,TRUE,FALSE,,FALSE,,TRUE,trauma; depression; mentally ill,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,trauma; depression; mentally ill,
Misao,en.wikipedia.org/wiki/Misao_(video_game),survival horror,Sen,NONE LISTED,2011-05-26,Microsoft Windows; Steam,,TRUE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,dismembering; rape,TRUE,rape,FALSE,,FALSE,,FALSE,,dismembering; rape; rape,"""Misao had gone to Sohta for help after she had been raped, only for Sohta to then rape Misao himself before dismembering her for her hands, as he has a psychotic addiction to them."""
Outlast 2,en.wikipedia.org/wiki/Outlast_2,survival horror,Red Barrels,NONE LISTED,2017-04-25,Microsoft Windows; Playstation 4; Xbox One; Nintendo Switch,first-person,FALSE,TRUE,pregnant; baby; daughter,FALSE,,TRUE,trauma; hallucination; suicide; asylum; hallucinate,TRUE,memories,TRUE,kidnapped; escape,TRUE,violent; violence; assault; murder; murdered; torture; tortured; rape,TRUE,rape,TRUE,teen; high school,FALSE,,FALSE,,pregnant; baby; daughter; trauma; hallucination; suicide; asylum; hallucinate; memories; kidnapped; escape; violent; violence; assault; murder; murdered; torture; tortured; rape; teen; high school; rape,
Oxenfree II: Lost Signals,en.wikipedia.org/wiki/Oxenfree_II:_Lost_Signals,supernatural horror; mystery horror,Night School Studio,NONE LISTED,2023-07-12,Android; iOS; Nintendo Switch; Playstation 4; Playstation 5; Windows,,TRUE,TRUE,pregnant,FALSE,,TRUE,hallucination,FALSE,,TRUE,escape,FALSE,,FALSE,,TRUE,teen,FALSE,,FALSE,,pregnant; hallucination; escape; teen,
Parasite Eve,https://en.wikipedia.org/wiki/Parasite_Eve_(video_game),horror,Square,TRUE,1998-03-29,PlayStation,,TRUE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,#N/A,
Phantasmagoria,https://en.wikipedia.org/wiki/Phantasmagoria_%28video_game%29,adventure horror,Sierra On-Line [ a ],TRUE,1995-08-24,Microsoft Windows MS-DOS Sega Saturn,point-and-click,TRUE,FALSE,,TRUE,house,TRUE,suicide,TRUE,flesh; body,FALSE,,TRUE,violent; murder; murdered; torture,TRUE,rape,FALSE,,FALSE,,FALSE,,house; suicide; flesh; body; violent; murder; murdered; torture; rape,"""That idea evolved into a woman being married to a man who is drawn to a bizarre house that previously belonged to illusionists and is haunted by ghosts."""
Remothered: Broken Porcelain,en.wikipedia.org/wiki/Remothered:_Broken_Porcelain,survival horror,Stormind Games,NONE LISTED,2020-10-13,Microsoft Windows; Playstation 4; Xbox One; Nintendo Switch,,TRUE,TRUE,mother; pregnant; daughter,TRUE,husband; family; father,TRUE,hallucination; suicide,TRUE,body; disfigured; memories,TRUE,abducted; captivity; escape; must escape,TRUE,murder; murdered; killed,TRUE,raping; forced,FALSE,,FALSE,,TRUE,transgender,mother; pregnant; daughter; husband; family; father; hallucination; suicide; body; disfigured; memories; abducted; captivity; escape; must escape; murder; murdered; killed; raping; forced; transgender,"""Stefano reveals that Jennifer was not adopted by Richard Felton, but is in fact Felton's biological daughter (as Felton is actually a woman but was forced to live as a man by his father since he was 10 years old), with Stefano himself being Jennifer's illegitimate biological father as the result of raping Felton in revenge for marrying Arianna"""
Remothered: Tormented Fathers,en.wikipedia.org/wiki/Remothered:_Tormented_Fathers,survival horror,Stormind Games,NONE LISTED,2018-01-30,Microsoft Windows; Playstation 4; Xbox One; Nintendo Switch,,TRUE,TRUE,mother; baby; daughter,TRUE,wife; family,TRUE,trauma; hallucination; suicide,TRUE,memories,TRUE,imprisoned; escape,TRUE,murder; murdered,FALSE,,FALSE,,FALSE,,TRUE,testosterone treatments,mother; baby; daughter; wife; family; trauma; hallucination; suicide; memories; imprisoned; escape; murder; murdered; testosterone treatments,"""Reed discovers Felton's birth certificate, listing his name as ""Jennifer Richardine Felton"". This knowledge causes Reed to realize that Felton was actually born a girl but was raised as a boy and given testosterone treatments by her cruel father, leading Felton to developing a split personality"""
Resident Evil 2,https://en.wikipedia.org/wiki/Resident_Evil_2_%282019_video_game%29,survival horror,Capcom,NONE LISTED,2019-01-25,PlayStation 4 Windows Xbox One PlayStation 5 Xbox Series X/S Nintendo Switch iOS iPadOS macOS,third-person,TRUE,TRUE,mother; daughter,FALSE,,TRUE,hallucinate,TRUE,mutation; mutated; body; memories; infected,TRUE,escape; must escape,TRUE,violent; violence; murder; killed,FALSE,,FALSE,,FALSE,,FALSE,,mother; daughter; hallucinate; mutation; mutated; body; memories; infected; escape; must escape; violent; violence; murder; killed,
Resident Evil 3: Nemesis,https://en.wikipedia.org/wiki/Resident_Evil_3%3A_Nemesis,survival horror,Capcom,TRUE,1999-09-22,"PlayStation , Windows , Dreamcast , GameCube",third-person,TRUE,FALSE,,FALSE,,FALSE,,TRUE,infected,TRUE,escape,TRUE,killed,FALSE,,FALSE,,FALSE,,FALSE,,infected; escape; killed,
Resident Evil 4,https://en.wikipedia.org/wiki/Resident_Evil_4,survival horror,Capcom Production Studio 4 [ a ],TRUE,2005-01-11,GameCube PlayStation 2 Windows Wii iOS Zeebo PlayStation 3 Xbox 360 Android PlayStation 4 Xbox One Nintendo Switch Oculus Quest 2,third-person,FALSE,TRUE,daughter,FALSE,,TRUE,hallucination; asylum,TRUE,mutated; body; experimentation; soul,TRUE,kidnapped; abducted; held captive; captive; escape,FALSE,,FALSE,,TRUE,young girl,FALSE,,FALSE,,daughter; hallucination; asylum; mutated; body; experimentation; soul; kidnapped; abducted; held captive; captive; escape; young girl,
Resident Evil 5,https://en.wikipedia.org/wiki/Resident_Evil_5,survival horror,Capcom,NONE LISTED,2009-03-05,PlayStation 3 Xbox 360 Windows Shield Android TV PlayStation 4 Xbox One Nintendo Switch,third-person,TRUE,FALSE,,FALSE,,FALSE,,TRUE,infected; mutates,TRUE,escape,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,infected; mutates; escape,"""he has betrayed Gionne and infected her with Uroboros. She mutates into a giant monster."""
Resident Evil: Code Veronica,en.wikipedia.org/wiki/Resident_Evil_Code:_Veronica,survival horror,Capcom Production Studio 4,NONE LISTED,2000-02-03,Dreamcast; Playstation 2; GameCube; Playstation 3; Xbox 360,third-person,TRUE,FALSE,,TRUE,family,FALSE,,TRUE,experimentation; soul,TRUE,imprisoned; escape,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,family; experimentation; soul; imprisoned; escape,
Rule of Rose,en.wikipedia.org/wiki/Rule_of_Rose,survival horror; psychological horror,Punchline,NONE LISTED,2006-01-19,Playstation 2,,TRUE,FALSE,,FALSE,,TRUE,trauma; suicidal; suicide,TRUE,body; memories,TRUE,kidnapped; abducted; captive; escape,TRUE,violent; violence; killed,FALSE,,TRUE,teen; young girl,FALSE,,FALSE,,trauma; suicidal; suicide; body; memories; kidnapped; abducted; captive; escape; violent; violence; killed; teen; young girl,
Scarlet Hollow,https://en.wikipedia.org/wiki/Scarlet_Hollow,horror,Black Tabby Games,TRUE,2021-06-11,Linux MacOS Microsoft Windows,visual novel,FALSE,TRUE,mother; daughter,TRUE,family,FALSE,,TRUE,flesh,TRUE,escape,TRUE,killed,FALSE,,FALSE,,FALSE,,FALSE,,mother; daughter; family; flesh; escape; killed,
Scorn,https://en.wikipedia.org/wiki/Scorn_(video_game),survival horror; adventure horror,Ebb Software,NONE LISTED,2022-10-14,Microsoft Windows Xbox Series X/S PlayStation 5,,FALSE,FALSE,,FALSE,,FALSE,,TRUE,"flesh, mutated",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,gender fluid,"flesh, mutated; gender fluid","""The silent humanoid protagonist""; ""With the parasite now merged with the protagonist, the two form a mass of seemingly immovable flesh."""
Senua's Saga: Hellblade II,https://en.wikipedia.org/wiki/Senua%27s_Saga%3A_Hellblade_II,psychological horror,Ninja Theory,TRUE,2024-05-21,Windows Xbox Series X/S PlayStation 5,,TRUE,TRUE,infant,FALSE,,TRUE,psychosis; mental illness; hallucination,TRUE,body; memories,FALSE,escape,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,infant; psychosis; mental illness; hallucination; body; memories; escape,
